modelo,AUC-ROC (filas),AUC-PR (filas),AUC-ROC (paciente),AUC-PR (paciente),sesgo AUC-ROC,sesgo AUC-PR
knn,0.5609,0.1427,0.5552,0.1397,0.0057,0.003
random_forest,0.6278,0.1962,0.6261,0.1835,0.0017,0.0127
