modelo,balanceo,optimizador,presupuesto,folds_externos,folds_internos,fraccion_busqueda,multifidelidad,semilla,n_evaluaciones,n_ajustes,auc_roc_media,auc_roc_sd,auc_roc_por_fold,auc_pr_media,auc_pr_sd,auc_pr_por_fold,exactitud_media,exactitud_sd,exactitud_por_fold,precision_media,precision_sd,precision_por_fold,recall_media,recall_sd,recall_por_fold,f1_media,f1_sd,f1_por_fold,exactitud_balanceada_media,exactitud_balanceada_sd,exactitud_balanceada_por_fold,brier_media,brier_sd,brier_por_fold,tiempo_busqueda_s,tiempo_ajuste_s,tiempo_inferencia_s,tiempo_por_evaluacion_s,hiperparametros_por_fold,curvas_anytime,curvas_diversidad,tiempo_total_s,estado,detalle
logistica,ninguno,grid,12.0,3.0,2.0,1.0,False,42.0,36.0,75.0,0.6619686619197358,0.007405346995584788,"[0.6676050504639454, 0.6647193550822129, 0.6535815802130491]",0.2104247375463467,0.010010979731916284,"[0.21748067140333907, 0.21482646564648494, 0.19896707558921603]",0.8862129276609666,0.00041408988390782223,"[0.8864520025669095, 0.8864520025669095, 0.8857347778490808]",0.5124614035904359,0.07111047044275406,"[0.5584415584415584, 0.5483870967741935, 0.4305555555555556]",0.013810628659816596,0.0033365747145158537,"[0.014252568776930727, 0.01690420947961551, 0.010275107722903546]",0.026888127263505146,0.006411466246723245,"[0.027795733678086618, 0.03279742765273312, 0.020071220459695695]",0.5060746080165403,0.0016708689198778196,"[0.5064020788845035, 0.5075574979407961, 0.5042642472243214]",0.09708141416198875,0.000585752623302962,"[0.09668056604125161, 0.09681003664989021, 0.09775363979482442]",173.2313733000192,19.94894309999654,2.1336310999759007,4.811982591667199,"[{""modelo__C"": 0.1, ""modelo__penalty"": ""l1""}, {""modelo__C"": 0.1, ""modelo__penalty"": ""l2""}, {""modelo__C"": 0.1, ""modelo__penalty"": ""l1""}]","[[0.1720569433618172, 0.1997898244307452, 0.1997898244307452, 0.20361458033797278, 0.20535294527824438, 0.20535294527824438, 0.20535294527824438, 0.20535294527824438, 0.20535294527824438, 0.20535294527824438, 0.20535294527824438, 0.20535294527824438], [0.1696450360090619, 0.20014188331380542, 0.20014188331380542, 0.20481148858942524, 0.20554701695756583, 0.20557133084882698, 0.20557133084882698, 0.20557133084882698, 0.20557133084882698, 0.20557133084882698, 0.20557133084882698, 0.20557133084882698], [0.17591806047752223, 0.2081937375139588, 0.2081937375139588, 0.21480339962284856, 0.216722860844762, 0.216722860844762, 0.216722860844762, 0.216722860844762, 0.216722860844762, 0.216722860844762, 0.216722860844762, 0.216722860844762]]","[[], [], []]",211.98843449997366,completada,
knn,class_weight,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no aplicable,'knn' no tiene equivalente de class_weight: su predicción es un voto de vecinos sin ponderación de clase.
logistica,class_weight,optuna,12.0,3.0,2.0,1.0,True,42.0,36.0,53.0,0.6632811670223848,0.0069435829048094585,"[0.6674002384996847, 0.66717883542491, 0.6552644271425598]",0.20925919842185423,0.009134546938197019,"[0.21489600040638973, 0.2141615354322956, 0.19872005942687734]",0.6604255533325784,0.0029628096705534633,"[0.6636216073383413, 0.6598844890717602, 0.6577705635876335]",0.18022304439455952,0.0020506796793758175,"[0.18161192739844426, 0.18118948824343015, 0.17786771754180425]",0.5583913379737045,0.005569366108111171,"[0.5571760026516407, 0.5644680145840238, 0.5535299966854491]",0.27249422522310035,0.0028382708598052244,"[0.27393465330400063, 0.27432345360824745, 0.26922456875705303]",0.6159654284370242,0.003177132984871011,"[0.6172392750755009, 0.6183079614540636, 0.6123490487815079]",0.22732574406630415,0.0011124900010901703,"[0.2280839422824374, 0.22604859952435633, 0.22784469039211874]",599.5573108000099,16.482518699980574,2.0750060999998823,16.65436974444472,"[{""modelo__C"": 0.01647126166141333, ""modelo__penalty"": ""l1""}, {""modelo__C"": 0.014554758960454807, ""modelo__penalty"": ""l2""}, {""modelo__C"": 0.05443599061458911, ""modelo__penalty"": ""l1""}]","[[0.1739728711492093, 0.20233595568225785, 0.20233595568225785, 0.20233595568225785, 0.20233595568225785, 0.2026881409399346, 0.2026881409399346, 0.20284796707242245, 0.20284796707242245, 0.20508694990152948, 0.20508694990152948, 0.20508694990152948], [0.2034593245793675, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008, 0.20425935687444008], [0.2122823568007337, 0.2122823568007337, 0.2122823568007337, 0.21357549548813115, 0.21357549548813115, 0.2160589533927681, 0.2160589533927681, 0.2160589533927681, 0.2160589533927681, 0.2160589533927681, 0.2160589533927681, 0.2160589533927681]]","[[], [], []]",634.8420590000169,completada,
